X,Y,Longitude,Latitude,Median,Matrix,icon_url
13.974,54.953,13.974000000000000,54.953000000000003,0.000000900000000,Water,./0.png
11.549,54.315,11.548999999999999,54.314999999999998,0.000001310000000,Water,./0.png
11.32,54.552,11.320000000000000,54.552000000000000,0.000001980000000,Water,./0.png
13.5,54.925,13.500000000000000,54.924999999999997,0.000001720000000,Water,./0.png
11.321,54.551,11.321000000000000,54.551000000000002,0.000001900000000,Water,./0.png
29.658,45.341,29.658000000000001,45.341000000000001,0.001430000000000,Water,./0.png
29.858,45.32,29.858000000000001,45.320000000000000,0.002590000000000,Water,./0.png
29.867,45.321,29.867000000000001,45.320999999999998,0.000670000000000,Water,./0.png
29.876,45.319,29.876000000000001,45.319000000000003,0.000410000000000,Water,./0.png
29.901,45.321,29.901000000000000,45.320999999999998,0.000570000000000,Water,./0.png
29.868,45.314,29.867999999999999,45.314000000000000,0.013700000000000,Water,./0.png
29.861,45.352,29.861000000000001,45.351999999999997,0.004220000000000,Water,./0.png
29.785,45.367,29.785000000000000,45.366999999999997,0.007590000000000,Water,./0.png
29.798,45.323,29.797999999999998,45.323000000000000,0.000960000000000,Water,./0.png
29.785,45.29,29.785000000000000,45.289999999999999,0.001350000000000,Water,./0.png
29.847,45.259,29.847000000000001,45.259000000000000,0.002830000000000,Water,./0.png
29.778,45.335,29.777999999999999,45.335000000000001,0.005670000000000,Water,./0.png
30.772,46.438,30.771999999999998,46.438000000000002,0.000460000000000,Water,./0.png
30.768,46.427,30.768000000000001,46.427000000000000,0.000330000000000,Water,./0.png
30.752,46.575,30.751999999999999,46.575000000000003,0.000080000000000,Water,./0.png
30.757,46.557,30.757000000000001,46.557000000000002,0.000140000000000,Water,./0.png
30.728,46.566,30.728000000000002,46.566000000000003,0.000125000000000,Water,./0.png
30.62,46.71,30.620000000000001,46.710000000000001,0.000165000000000,Water,./0.png
30.619,46.71,30.619000000000000,46.710000000000001,0.000050000000000,Water,./0.png
30.591,46.815,30.591000000000001,46.814999999999998,0.000050000000000,Water,./0.png
29.867,45.322,29.867000000000001,45.322000000000003,0.001970000000000,Water,./0.png
29.879,45.321,29.879000000000001,45.320999999999998,0.001710000000000,Water,./0.png
29.867,45.315,29.867000000000001,45.314999999999998,0.000350000000000,Water,./0.png
29.863,45.353,29.863000000000000,45.353000000000002,0.001050000000000,Water,./0.png
29.87,45.252,29.870000000000001,45.252000000000002,0.000400000000000,Water,./0.png
29.815,45.273,29.815000000000001,45.273000000000003,0.000470000000000,Water,./0.png
29.786,45.292,29.786000000000001,45.292000000000002,0.000130000000000,Water,./0.png
29.796,45.324,29.795999999999999,45.323999999999998,0.000880000000000,Water,./0.png
29.786,45.329,29.786000000000001,45.329000000000001,0.001690000000000,Water,./0.png
29.775,45.336,29.774999999999999,45.335999999999999,0.002520000000000,Water,./0.png
29.764,45.339,29.763999999999999,45.338999999999999,0.000320000000000,Water,./0.png
31.007,46.646,31.007000000000001,46.646000000000001,0.000420000000000,Water,./0.png
30.759,46.549,30.759000000000000,46.548999999999999,0.000280000000000,Water,./0.png
30.735,46.514,30.734999999999999,46.514000000000003,0.000630000000000,Water,./0.png
30.749,46.494,30.748999999999999,46.494000000000000,0.000230000000000,Water,./0.png
30.769,46.452,30.768999999999998,46.451999999999998,0.000185000000000,Water,./0.png
30.773,46.445,30.773000000000000,46.445000000000000,0.000280000000000,Water,./0.png
30.731,46.367,30.731000000000002,46.366999999999997,0.000265000000000,Water,./0.png
30.745,46.535,30.745000000000001,46.534999999999997,0.001090000000000,Water,./0.png
30.751,46.536,30.751000000000001,46.536000000000001,0.000700000000000,Water,./0.png
30.748,46.531,30.748000000000001,46.530999999999999,0.000510000000000,Water,./0.png
30.827,46.201,30.827000000000002,46.201000000000001,0.000150000000000,Water,./0.png
30.711,45.99,30.710999999999999,45.990000000000002,0.000090000000000,Water,./0.png
29.81,45.2,29.809999999999999,45.200000000000003,0.000200000000000,Water,./0.png
30.577,44.981,30.577000000000002,44.981000000000002,0.000090000000000,Water,./0.png
31.251,45.666,31.251000000000001,45.665999999999997,0.001190000000000,Water,./0.png
31.124,45.819,31.123999999999999,45.819000000000003,0.000580000000000,Water,./0.png
31.344,46.462,31.344000000000001,46.462000000000003,0.000130000000000,Water,./0.png
30.824,46.509,30.824000000000002,46.509000000000000,0.000120000000000,Water,./0.png
29.862,45.35,29.861999999999998,45.350000000000001,0.004090000000000,Water,./0.png
29.774,45.336,29.774000000000001,45.335999999999999,0.000190000000000,Water,./0.png
29.876,45.322,29.876000000000001,45.322000000000003,0.001410000000000,Water,./0.png
29.866,45.314,29.866000000000000,45.314000000000000,0.013000000000000,Water,./0.png
29.856,45.321,29.856000000000002,45.320999999999998,0.000410000000000,Water,./0.png
29.883,45.253,29.882999999999999,45.253000000000000,0.000400000000000,Water,./0.png
29.815,45.272,29.815000000000001,45.271999999999998,0.000390000000000,Water,./0.png
29.785,45.287,29.785000000000000,45.286999999999999,0.000790000000000,Water,./0.png
29.787,45.329,29.786999999999999,45.329000000000001,0.000130000000000,Water,./0.png
29.864,45.351,29.864000000000001,45.350999999999999,0.000270000000000,Water,./0.png
29.8,45.322,29.800000000000001,45.322000000000003,0.000155000000000,Water,./0.png
29.866,45.321,29.866000000000000,45.320999999999998,0.000100000000000,Water,./0.png
29.878,45.321,29.878000000000000,45.320999999999998,0.000070000000000,Water,./0.png
29.868,45.315,29.867999999999999,45.314999999999998,0.000100000000000,Water,./0.png
29.858,45.321,29.858000000000001,45.320999999999998,0.000220000000000,Water,./0.png
